year,team,wins,losses,wpct,ortg,eFG%,pb,playoffs,champions
2014,ATL,38,44,0.463,105.900,0.515,0.971,1.000,0.000
2015,BOS,40,42,0.488,104.700,0.489,0.985,1.000,0.000
2018,BRK,28,54,0.341,106.900,0.514,0.985,0.000,0.000
2018,CHI,27,55,0.329,103.800,0.497,0.984,0.000,0.000
2015,CHO,33,49,0.402,100.100,0.456,0.981,0.000,0.000
2011,CLE,19,63,0.232,102.200,0.472,0.967,0.000,0.000
2016,DAL,42,40,0.512,106.700,0.502,0.986,1.000,0.000
2013,DEN,57,25,0.695,110.400,0.515,0.998,1.000,0.000
2018,DET,39,43,0.476,107.200,0.512,0.992,0.000,0.000
2020,GSW,15,50,0.231,105.200,0.497,0.978,0.000,0.000
2012,HOU,34,32,0.515,105.500,0.492,0.975,0.000,0.000
2015,IND,38,44,0.463,103.500,0.484,0.992,0.000,0.000
2017,LAC,51,31,0.622,112.700,0.537,0.970,1.000,0.000
2015,LAL,21,61,0.256,103.400,0.473,0.983,0.000,0.000
2018,MEM,22,60,0.268,104.500,0.500,0.977,0.000,0.000
2019,MIA,39,43,0.476,107.300,0.515,0.983,0.000,0.000
2011,MIL,35,47,0.427,101.600,0.467,0.986,0.000,0.000
2013,MIN,31,51,0.378,102.900,0.473,0.978,0.000,0.000
2012,NOP,21,45,0.318,100.900,0.476,0.982,0.000,0.000
2015,NYK,17,65,0.207,99.900,0.470,0.983,0.000,0.000
2020,OKC,44,28,0.611,110.800,0.530,0.936,1.000,0.000
2013,ORL,20,62,0.244,101.600,0.485,0.972,0.000,0.000
2017,PHI,28,54,0.341,103.200,0.501,1.008,0.000,0.000
2011,PHO,40,42,0.488,109.500,0.522,0.996,0.000,0.000
2019,POR,53,29,0.646,114.700,0.528,0.951,1.000,0.000
2011,SAC,24,58,0.293,103.500,0.480,0.988,0.000,0.000
2015,SAS,55,27,0.671,108.500,0.517,0.978,1.000,0.000
2013,TOR,34,48,0.415,105.900,0.488,0.968,0.000,0.000
2018,UTA,48,34,0.585,108.400,0.527,0.971,1.000,0.000
2016,WAS,41,41,0.500,105.300,0.511,0.981,0.000,0.000
