year,team,wins,losses,wpct,ortg,eFG%,pb,playoffs,champions
2020,ATL,20,47,0.299,107.200,0.515,0.933,0.000,0.000
2020,BOS,48,24,0.667,113.300,0.531,0.938,1.000,0.000
2011,BRK,49,33,0.598,108.200,0.498,0.942,1.000,0.000
2011,CHI,62,20,0.756,108.300,0.501,0.928,1.000,0.000
2018,CHO,36,46,0.439,109.400,0.508,0.951,0.000,0.000
2015,CLE,53,29,0.646,111.100,0.520,0.915,1.000,0.000
2014,DAL,49,33,0.598,111.200,0.526,0.953,1.000,0.000
2011,DEN,50,32,0.610,112.300,0.526,0.966,1.000,0.000
2019,DET,41,41,0.500,109.000,0.509,0.932,1.000,0.000
2019,GSW,57,25,0.695,115.900,0.565,0.911,1.000,0.000
2019,HOU,53,29,0.646,115.500,0.542,0.900,1.000,0.000
2011,IND,37,45,0.451,104.800,0.486,0.957,1.000,0.000
2012,LAC,40,26,0.606,108.500,0.502,0.921,1.000,0.000
2012,LAL,41,25,0.621,106.000,0.491,0.902,1.000,0.000
2017,MEM,43,39,0.524,107.700,0.491,0.946,1.000,0.000
2011,MIA,58,24,0.707,111.700,0.524,0.862,1.000,0.000
2018,MIL,44,38,0.537,109.800,0.531,0.912,1.000,0.000
2017,MIN,31,51,0.378,110.800,0.511,0.909,0.000,0.000
2018,NOP,48,34,0.585,109.600,0.541,0.918,1.000,0.000
2013,NYK,54,28,0.659,111.100,0.515,0.929,1.000,0.000
2012,OKC,47,19,0.712,109.800,0.516,0.871,1.000,0.000
2011,ORL,52,30,0.634,107.900,0.521,0.942,1.000,0.000
2019,PHI,51,31,0.622,112.600,0.532,0.936,1.000,0.000
2019,PHO,19,63,0.232,105.900,0.514,0.939,0.000,0.000
2020,POR,35,39,0.473,113.700,0.533,0.908,1.000,0.000
2014,SAC,28,54,0.341,105.700,0.484,0.914,0.000,0.000
2017,SAS,61,21,0.744,111.100,0.524,0.944,1.000,0.000
2017,TOR,51,31,0.622,112.300,0.517,0.928,1.000,0.000
2011,UTA,39,43,0.476,108.100,0.498,0.950,0.000,0.000
2017,WAS,49,33,0.598,111.200,0.528,0.937,1.000,0.000
