year,team,wins,losses,wpct,ortg,eFG%,pb,playoffs,champions
2011,PHO,40,42,0.488,109.500,0.522,0.996,0.000,0.000
2012,PHO,33,33,0.500,106.200,0.499,0.984,0.000,0.000
2013,DEN,57,25,0.695,110.400,0.515,0.998,1.000,0.000
2014,DEN,36,46,0.439,106.000,0.497,0.982,0.000,0.000
2015,IND,38,44,0.463,103.500,0.484,0.992,0.000,0.000
2016,PHI,10,72,0.122,98.800,0.487,0.992,0.000,0.000
2017,PHI,28,54,0.341,103.200,0.501,1.008,0.000,0.000
2018,DET,39,43,0.476,107.200,0.512,0.992,0.000,0.000
2019,MIA,39,43,0.476,107.300,0.515,0.983,0.000,0.000
2020,DET,20,46,0.303,109.000,0.529,0.979,0.000,0.000
