year,team,wins,losses,wpct,ortg,eFG%,pb,playoffs,champions
2011,MIA,58,24,0.707,111.700,0.524,0.862,1.000,0.000
2012,OKC,47,19,0.712,109.800,0.516,0.871,1.000,0.000
2013,OKC,60,22,0.732,112.400,0.527,0.886,1.000,0.000
2014,OKC,59,23,0.720,110.500,0.520,0.884,1.000,0.000
2015,CLE,53,29,0.646,111.100,0.520,0.915,1.000,0.000
2016,OKC,55,27,0.671,113.100,0.524,0.911,1.000,0.000
2017,OKC,47,35,0.573,108.300,0.500,0.906,1.000,0.000
2018,OKC,48,34,0.585,110.700,0.514,0.909,1.000,0.000
2019,HOU,53,29,0.646,115.500,0.542,0.900,1.000,0.000
2020,POR,35,39,0.473,113.700,0.533,0.908,1.000,0.000
